key,source_hash,fr,status,notes
SUMMARY_EXPENSE,bff1479be96b936694fc0aee4b916998b3c5129877aecd587bfdb668cd2c906a,Dépenses,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
DISCLAIMER_PLAYTEST_MESSAGE,0cdcc34dc03b1e4a2a207582654a550ec75ba6c7cc113b65b5793a0620108f66,"Ceci est une version de démonstration du jeu. Elle ne reflète pas entièrement la qualité de la version finale, y compris les traductions.Partagez vos avis, suggestions et signalements de bugs via l'outil de commentaires intégré au jeu ou notre page de la communauté Steam.Votre expérience nous aidera à faire de la version complète de KuloNiku la meilleure possible.Merci de nous aider à cuisiner quelque chose de spécial !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
UI_FRIENDSHIP_TITLE,653fbb57e9af6d6c8fe86bea94aa07f06637f2e057dff53584d873ebe23d36b6,Amitié,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
HANGOUT_CASSIE_1_REWARD_TITLE,ea678be2841734a3bc277ab04be90355f2f5211290a448f0cfb2fc63020cb28c,Débloquer le centre commercial,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
HANGOUT_UME_2_REWARD_DESC,f357e87e59c395c9444b699c78ceb676f5b864b5d32ef14f102be83a333aed27,Nouveau réassort en boutique,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
HANGOUT_UME_3_REWARD_DESC,1f01927d578c03142f6e26c679139ad4d35adb6c177b4ad4f2b8c7edd3f7d2fc,Nouveaux ingrédients premium (Ume),reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
ACTION_HIDEUI,183d3eb555d60de7768416de2f0bb5e6ec724ec8594e8051542076e286a996a5,Masquer,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
NEWGAME_CONFIRMATION,aefd11b91390081e08f2a43296689e7538ae2d1d5346a3927ff9b80815bd044d,Commencer une nouvelle partie ?<br>(la sauvegarde actuelle sera perdue),reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
MAINMENU_CONFIRMATION,a35e05c66ec6a310cd00cfde6f49ab00901b9b081a14071889215d716bd12c96,Retourner au menu principal ?<br>La progression en cours sera perdue.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
REWARD_AFFECTION,87fbf2395a3c776df08eccc6b5b8d1eef592b7897cf8bbe6643b8728d4065696,+[X] amitié,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
NO_OBJECTIVE,93f316f26c91417fcfd0ed99e161f90d1086aaac5fa4f64a3e145ab175f32d0b,Aucun objectif.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
ACTION_SAVING,c5e3cc09783a84cb7b29909fa045921d549a35bace62c0e5689054614f3b8209,Sauvegarde..,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
UI_DATE_ACTIVITY_DEEPEN_BOND,3dfd4127137edad1b7b746a4ca13ef33b7d173d90b841232b1e2a0c42b14519a,Renforcer le lien,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/,6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d,"Mais maintenant, je suis prête. Je parle mieux par ma cuisine.",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMI_GOOD_REVIEW_1,99b5a80d07dcaffd3497144cc935fdc0761004d247b2e73f5d621e4b25e1fad9,Oui ! C'est bon !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/UME_GOOD_REVIEW_2,117d2b0a623c8c6831ff6fa42cb736b04a6c98ee9ca2ba2a8560b5bedd5fb1df,C'est vraiment très bon... Merci.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/UME_GOOD_REVIEW_3,1be5f53977f95fee54dc47b01ea304a991396925e46474672daa185d05909870,Ça sent merveilleusement bon... Je vois que tu as cuisiné avec grand soin.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/SHUGA_REFUND_SAD_1,9d3e771d77a0b992680abb96557bcca879ccd282e0b72a0e8d46734bd31e8dbd,"À la réflexion, je peux être remboursé ? J'aurais besoin de cet argent, héhé.",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/TUTORIALCOOKINGSTART_14,966dcc79c5369d465004ee07d6192502c5a418f1964b1f21b59c0dc11cee99f7,Je te mets au défi de me préparer un bol de nouilles aux boulettes !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMIINTROEND_3,a3fc6f8ee6223136552cb4bf74d6dfeeee888045fdd71b524a17ed4f1962bbf2,J'apprendrai les astuces des grandes villes pour propulser la gastronomie de KuloNiku encore plus haut !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/UMEINTRO_4,7cecc8317eeab9fc740c8572602b64c528e7ffd4ed7d8d33707c7939124a2410,M-Ma famille tient l'épicerie du coin. Elle s'appelle [COLOR=ALERT]Ume Shop[/COLOR]. ,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_DISLIKED_2,2f8261621505eb4230a7018231d6759817890a6b1b72588c2e3f18bddd264fb7,Pas de {2}. Je n'aime pas ça.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_COMMON_LIKED_1,e9c4732278d525aa6c8285969dff1a1b8f7be9cf585fa4cbc506c29dd0d3e9ed,Ajoutez bien plus de {1}.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_COMMON_LIKED_2,dda31956b0ca337511ac993e071a82103f933bc5a0096424946f8dfe802ac2da,Oh je voudrais plus de {1} avec.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_ENERGETIC_LIKED_2,ff874e4233b92bc1eff57e6cabaed142d33286a436f81ff756b4bf93f33b2449,Donnez-moi aussi plus de {1} !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_POETIC_LIKED_1,9cd51a0941037e5fb3d6a64b4c8ffe82743eac640d3e826a71804765dc5b8e6c,Si vous avez {1}... j'en veux plus.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_POETIC_LIKED_2,615d78ec2c8eaaf11205081e9e3a5469d896354f5c32b2828536c707ebd0b257,{1} est l'accompagnement parfait.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_POETIC_LIKED_3,265645e8f9fddefbc2b823b51fc2534f1f60cdfed587d62b5dec9cfa4c1db364,Avec plus de {1} ce serait divin.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_SHY_LIKED_1,5bc0bf9b686ba7ec8f8a6a4a8a8dc625d9274e4be475c8aa0f5f0790c977dc3b,Et euh plus de {1} si possible.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_SHY_LIKED_2,fda61cdd88982525ade1ddc5217754a59f96cf2385ba28c395e8837d06c56295,V-Vous avez plus de {1} ? J'en voudrais un peu...,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_SHY_LIKED_3,bff64ede29b39ac66d9966a99bf01a6c9d4577520959ae2990a4cf2426fb7df3,Est-ce possible d'ajouter plus de {1} ?,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_COOL_ENTER_3,fd090d48ae8721f615c3ff5b0aa27025ea5c0cc67f8000ad4e7bcc3821f91739,Ma journée est bien meilleure maintenant que je vous vois.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_COOL_LIKED_1,d826ab466cbfcd3513f9c4c200837d0023342ffcbaac76a1f56b17ecade7bafc,Et si vous avez plus de {1} ce serait parfait.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_COOL_LIKED_3,7770213077aef8329576065037c027c37f5186c1c829961b9ef71a9bf6a0b16e,Et plus de {1} s'il vous plaît.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_MAMI_LIKED_2,17f9ddd0c162052a1dfa738f4e35fc0a52fc6a44dc657f3578a8b6499f920121,Donne-moi plus de {1}. C'est les meilleurs !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_UME_BOWL_1,a8121a1ffd69ca4ac08d7ff8fcf039ad382a40feb0f7d70becae30ecd6425acf,{0} a l'air délicieux... ,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_UME_LIKED_1,21c630244249d2e5eb3d4af994df24cf497114a315128926cceb8dab68a6e9b6,Shuga m'a recommandé votre {1}. Euh j'en voudrais plus s'il vous plaît.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_HOSTINTRO_1,e47ae1944a7b28f6a9ddc5e3eca046bb9e3e3ab1e1aec882710e286bcf221a8d,"Je suis votre animateur, l'unique Rosso ! Oh ouais ! Que les sourires fleurissent !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_BEFORECOOKING_1,755c6e3c06a46a94481f232d5ddc615aec666876a7b5c0c76828ddae1eedebeb,"À vos marques, prêts, DUEL !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_SCORE_BAD_2_1,885ff64be9e17d66e4ff3417d448e10cb1300428281a768679729d57a3bb71c2,Pas ce qu'on voulait voir ! Mais ça ne sert à rien de pleurer sur le bouillon renversé !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_PARTNER_INTRO_UME_2,aec5da5038ef0619a7689bbfa8c975266bda98548c7e674d41552c4891e5438d,"De la boutique d'Ume, voici Ume en personne ! Elle adore lire et compte utiliser tout son savoir pour décrocher la victoire !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_PARTNER_INTRO_SHUGA_1,fbe36d9add78c9451cf771fad1ff3d1a1515d94ed28f9780bbaf086075fc832f,"Oh, mais c'est Shuga ! Touche-à-tout, il peut compenser les faiblesses de n'importe qui ! Un précieux partenaire de duel !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_PARTNER_INTRO_CASSIE_3,929b67a46834c39ff298c82c9d70cf63e78554a4720bc1699a7f4a7c9bd8d614,Accueillons Cassie ! Elle adore les nouveautés et les nouvelles expériences ! Ce duel sera donc inoubliable !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_PARTNER_INTRO_STELLA_2,0218ca6159f492108fcb6d5650ca0b3fdb986a8c48347ff8a9692e998ad4fa40,"Attention, les amis ! C'est Stella elle-même ! Sa cuisine frappe aussi fort que sa musique ! Une partenaire de duel à ne pas chercher !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_PARTNER_INTRO_NOKA,5e17b44f64e8a32d67d5a01e6dd89516884b5b25a2460f98e513b78f000dc4d3,L'émissaire du royaume végétal est là ! La connaissance de Noka des légumes les plus savoureux sera sûrement utile !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_PARTNER_INTRO_RUNA,ff024b2cc2a5724eb3db857cde7e7a4857b770485804c491241b394174594af2,"C'est Runa ! Elle garde toujours son sang-froid, en musique comme en cuisine. Une partenaire de duel vraiment fiable !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_PARTNER_INTRO_NEKORA,c23335a8482084107d6dd5c9df314b5236384932ca55210da6ce13781ddaa5e7,"Mignonne et imprévisible comme un vrai chat, c'est Nekora ! Elle est prête à griffer son chemin vers la victoire pour son équipe !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_PARTNER_INTRO_SOPHIE,0e812210fb78c76d23501957bb8af480b0aeefe6598bb9ad5855e286b5fad599,"Oo la la, c'est Sophie ! Même dans le feu d'un Duel culinaire, elle ne transpire jamais ! Une cheffe pleine de classe !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CONTEST_PARTNER_INTRO_JOCKO,f1527f25d7c4129aa4f145b77792040761a62481efac43323cc7f651119811fd,"En halte sur son parcours de jogging, voici Jocko ! Il connaît les meilleurs macronutriments à mettre dans chaque bol !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_MAMI,fbc93a8a6bad92e4bac3bb345230a882c6a2e1185eb1f9b70c2a70eca234b956,"Et ce n'est autre que Mami ! Fière membre de l'association des commerçants de KuloNiku, ses plats sont aussi viraux que délicieux !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_ELIO,a98955145d8989b5b01b585025b30f40b9e09c1f57026e8ef09bef480404eb9d,"Voici Elio, prêt à relever le défi ! Batteur insouciant des Galaxies, ses plats sont aussi percutants et affûtés que sa musique !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_CHU,55c4680b6fdfd298b811316352a1bd11415fea4ff953985bf7a39166cbc03750,"Mr. Chu est là ! En tant que marchand ambulant, il a sûrement appris diverses techniques de cuisine ! Voyons ce qu'il sait faire !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_OTARU,5c25c85f1e4e5e3c0805e8da4644f9d48d30b19819788eb7d39cc0f73041a9a0,"C'est Otaru ! Son amour pour Migu est sans limites ! Il a regardé des centaines d'animes de cuisine, voyons ce qu'il vaut aux fourneaux !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_TYRO,f19977023d4fbe3d97860f78cff1d7153143445a7e74146cd0a8525713e29141,"C'est Tyro ! Attention, tout le monde ! Il est petit, mais sa morsure est redoutable ! Tout comme sa cuisine !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_NEKORA,275aaf628f3c92f1811f153ed87b20d4e209ddf411b9d4d81b7ea3c3bdb2590a,"Nyan nyan, Nekora est là ! Ce chat a des griffes, alors attention ! Ses omelettes signature brisent les oeufs, mais aussi les coeurs !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_JEN,bbe63b41d2a13cb1a4f57d4ed2cb234926544f27d2b65cd00e3ffde1b41ef7e7,Faites du bruit pour Jen ! Cette icône de mode s'est récemment lancée dans les vêtements comestibles ! Tout ce qu'elle porte aujourd'hui se mange !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_SAI,607b10057aebd8930f88601c3e67fe413735e09ecca987cf9dda8aad392d3666,"Oh là là, c'est Sai ! Rejeté par la communauté scientifique pour ses idées folles, il se tourne désormais vers la cuisine ! Quelle expérience allons-nous voir aujourd'hui ?!",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_LADO,1adaf3a8bf0931a7f47fc136c1e253807d8f928de28072649b5cb110635a2923,"Voici Lado ! Ce jeune homme consacre sa vie à étudier les restaurants de KuloNiku ! Aujourd'hui, place à la recherche de terrain en cuisine !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_SOPHIE,b775d90796cbb0ac35512d74bb27f1873c9557bc4e27adaeb6d93f8e4583603a,"Veuillez accueillir Sophie ! Propriétaire de Lady's Ladle, sa cuisine élégante est vraiment la crème de la crème !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_NENE,bd0be0963f5b7775cff6b3c77e49a5c68cc52bad89e6274c4428d935e464752d,"Ô cosmos, voici notre chère Nene ! Ses jambes tremblent et elle avance lentement, mais sa cuisine est toujours aussi aiguisée !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/OPPONENT_INTRO_JAYA,5c0c48b0e92326962fb761fcc9193f879b2fb8262346646c84420e3d97b158ce,"Voici Jaya ! Toujours discipliné, respectueux des lois et ordonné, il cuisine à son image ! Malfaiteurs, attention !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMICONTEST_PREGAME_5,e85aee0c48ee50893eebd339f983f95085e9fdc251d4e2c47bd6f35947a48404,"Bref, j'espère que tu es prêt à tout apprendre sur les Duels culinaires !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMICONTESTEND_1,071589522c941886149dbbb87e3e2a42ec40b1bbc7a8d5e48708e6acd41b42e7,Tu sais maintenant comment se déroule un Duel culinaire.,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMICONTESTEND_5,9a41487f16211011208d817a1869eed7f9330e9317d297d10844581e5c3e0a4d,"Bon, il se fait tard. À plus !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMICONTESTCHALLENGE_2,50b2286b1239ab2c3633488642a04dcd14aa0cfbce133631e86dcf30850f8fe0,"Oui ! Contente que tu te souviennes, [NAME] !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMICONTESTCHALLENGE_5,9e4dd9325f55bd3e252bbcba69bfcb528d77f4de22f18b86baeb326006a0caa2,"Comme je te l'ai dit, ta grand-mère nous a rendus accros à la cuisine, surtout aux boulettes ! Tous les restaurants en servent !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMICONTESTCHALLENGE_6,a9fd124c248978f018f93476c8d9e08bef24118d6d5a5bba8301e0020e3dc77b,"Pour que ton restaurant se démarque, tu dois augmenter ton [COLOR=ALERT]niveau de réputation[/COLOR]. Et il n'y a qu'un moyen infaillible.",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMICONTESTCHALLENGE_7,298bd9bc806cab2b8719246eb06222ba8da795e77f1648df82e5d35b6a73868f,"En battant d'autres chefs dans des duels culinaires, jugés par les habitants. Ces duels survoltés s'appellent...",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMICONTESTCHALLENGE_8,91d7a903a568a0e2c301b8254115a49eb8597df9693df2ba32a8a3b15998472c,[COLOR=ALERT]les Duels culinaires ![/COLOR] Ou Duels pour faire court !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/MAMICONTESTCHALLENGE_10B,300c4c74e7fffba54799af473c6c407b061dc63c33276d88421aa54f9f18cf05,"D'habitude, ils n'ont lieu que les [COLOR=ALERT]lundis[/COLOR] et les [COLOR=ALERT]jeudis[/COLOR], mais je vais tirer quelques ficelles pour en organiser un demain.",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/STELLACONTEST_PREGAME_1,257c15248fc657a053b171153f5dccafa7a36d606ce1726382ab3f5a8c7bc293,"Hé, minable ! Hé, alors tu es vraiment venu. ",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/STELLACONTEST_PLAYERLOST_1,d48a512504944be7e1bcdc8b47238e7390d474a2f9095bcf7ae9999fb1bda89c,Bwahahaha ! J'ai gagné !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/NIGHTEVENT_DAYOFF_CONFIRM_1,24406133c297021fc840dbb8f316cade870aee267d80ee9b2f2b6c2efe391302,"Demain, je suis en [COLOR=ALERT]repos[/COLOR]. Voir [PARTNER] ?[END_NIGHT_WARNING]",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/NIGHTEVENT_SKIP_TO_DAYOFF_CONFIRMATION,02a283a179813aceccd74dbdde4190d69c55e650b44f05395c64943af8d64e52,"Passer au [DAYOFF] pour sortir ? Je ne gérerai pas Bakuso et ne participerai pas aux festivals, mais je gagnerai de l'argent.[END_NIGHT_WARNING]",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/DAN_TALK_AFF_1_1,de2fbba56308d9d1201158ec4f35301bb895868e8d257823ba6003340b1f121a,"Ah, Successeur. Ta silhouette altière m'inspire toujours.",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/DIALOGUE_VNM7_3,93a42172103d6f01841b5f9a578554a3303fe940e291a873e6f42c38ce24547a,"Bien se reposer, c'est important aussi. Il ne faut pas t'épuiser.",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/DIALOGUERESTBLOCKER_VNM9_1,ee31302d38ccf51735b7e011f7d6bb5c1023413ad244f8fe4dca2f50c3d88d62,Stella veut me retrouver devant la [COLOR=ALERT]chaîne de télé[/COLOR]. J'espère qu'elle ne prévoit pas de me détrousser...,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_CRANKY_LIKED_3,787d7bfe4e792d3f09f82ec6942be50a6851674767ce6e0009d0b16cb9b8e11a,Pas assez... plus de {1} !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_CRANKY_DISLIKED_3,9abf8063ac5aee08c7e387aa63263009ccad3b1eec3501d17feb91a1594360ff,"Ah oui, pas de {2}.",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_CRANKY_TASTE_1,e38105a1377a877eadbc95a2bc6d414e8a7b7d7f803dd0fc46105ff5e71fd85c,"Attends, attends, je le veux {TASTE} !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_CHILDISH_ENTER_1,7d82876161183c52927b5bc93e1f69bca6f6ceca24d62b65bc6fd9b40215c099,"Bonjour. Je voudrais commander, s'il vous plaît !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_CHILDISH_ENTER_3,b18e7605dba39cae85a1c021e4e19e44bbcba941b768d44e4b72f9450673b52c,J'ai économisé mon argent de poche pour manger ici !,reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
Dialogue/CRYPTIC_CHILDISH_LIKED_2,c294f8bf3e31ae9d2b44ce05a23fa7c4c1cbec3170a7a980a3da8c7c214b1e4e,"Plus de {1}, merci !",reviewed,Compatibilité avec la démo 0.10.5 ; source différente de la version complète.
